season,internal_player_id,fantasypros_id,player_name,position,nfl_team,drafted,jugg_salary,jugg_owner,espn_salary_cap_value,espn_overall_rank,espn_position_rank,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,player_pool_source
2022,nfl:gsis:00-0038124,23886,Christian Watson,WR,GB,False,,,0,204,76,,191.0,54.181,,espn
2022,nfl:gsis:00-0038134,23021,Kenneth Walker III,RB,KC,True,1,Brandon Martin,2,118,40,132.0,114.0,94.567,,espn_and_jugg
2022,provisional:fantasypros:13977,13977,Ty Montgomery II,RB,FA,False,,,0,212,70,,,22.083,,espn
2022,provisional:fantasypros:17297,17297,Nyheim Miller-Hines,RB,FA,False,,,1,121,43,131.0,143.0,86.759,,espn
2023,nfl:def:BAL,8020,Baltimore Ravens,DEF,BAL,False,,,0,253,15,167.0,128.0,106.89,1,espn
2023,nfl:def:BUF,8030,Buffalo Bills,DEF,BUF,False,,,1,143,3,97.0,86.0,108.3,1,espn
2023,nfl:def:CAR,8040,Carolina Panthers,DEF,CAR,False,,,0,189,11,174.0,237.0,97.01,,espn
2023,nfl:def:CIN,8060,Cincinnati Bengals,DEF,CIN,False,,,0,190,12,172.0,228.0,98.38,,espn
2023,nfl:def:CLE,8070,Cleveland Browns,DEF,CLE,False,,,1,147,7,139.0,202.0,107.74,1,espn
2023,nfl:def:DAL,8080,Dallas Cowboys,DEF,DAL,True,2,Phil Carr,1,146,6,109.0,73.0,118.53,1,espn_and_jugg
2023,nfl:def:DEN,8090,Denver Broncos,DEF,DEN,True,1,Robbie Bagwell,,,,204.0,119.0,102.0,1,jugg_exception
2023,nfl:def:GB,8110,Green Bay Packers,DEF,GB,False,,,1,150,10,161.0,232.0,104.02,,espn
2023,nfl:def:IND,8130,Indianapolis Colts,DEF,IND,True,1,George Rodman,,,,315.0,,105.36,1,jugg_exception
2023,nfl:def:MIA,8160,Miami Dolphins,DEF,MIA,False,,,1,145,5,123.0,127.0,106.24,,espn
2023,nfl:def:NE,8180,New England Patriots,DEF,NE,True,1,Brandon Martin,1,149,9,141.0,111.0,110.18,1,espn_and_jugg
2023,nfl:def:NO,8190,New Orleans Saints,DEF,NO,True,1,Nate Corbett,1,144,4,107.0,214.0,105.63,2,espn_and_jugg
2023,nfl:def:NYJ,8210,New York Jets,DEF,NYJ,True,2,Lee Krassner,1,148,8,128.0,89.0,107.44,,espn_and_jugg
2023,nfl:def:PHI,8230,Philadelphia Eagles,DEF,PHI,True,4,Ken Moller,,,,142.0,79.0,117.57,1,jugg_exception
2023,nfl:def:PIT,8240,Pittsburgh Steelers,DEF,PIT,True,1,Julius Berotte,1,142,2,95.0,207.0,107.75,1,espn_and_jugg
2023,nfl:def:SF,8270,San Francisco 49ers,DEF,SF,True,2,Brad Beissner,1,141,1,74.0,64.0,108.17,4,espn_and_jugg
2023,nfl:def:TB,8290,Tampa Bay Buccaneers,DEF,TB,False,,,0,222,14,,236.0,100.7,23,espn
2023,nfl:def:WAS,8310,Washington Commanders,DEF,WAS,True,1,Joey Breeland,0,221,13,175.0,235.0,107.96,1,espn_and_jugg
2023,nfl:gsis:00-0023459,9001,Aaron Rodgers,QB,PIT,True,3,Julius Berotte,1,124,15,93.0,103.0,305.619,5,espn_and_jugg
2023,nfl:gsis:00-0026498,9451,Matthew Stafford,QB,LAR,False,,,0,183,19,165.0,193.0,279.068,1,espn
2023,nfl:gsis:00-0026858,9232,Graham Gano,K,FA,False,,,1,155,5,132.0,226.0,114.19,1,espn
2023,nfl:gsis:00-0029263,11180,Russell Wilson,QB,FA,False,,,1,126,17,135.0,200.0,306.471,6,espn
2023,nfl:gsis:00-0029293,11215,Marvin Jones Jr.,WR,FA,False,,,0,216,78,,,45.0,1,espn
2023,nfl:gsis:00-0029597,11465,Justin Tucker,K,FA,True,4,Ken Moller,1,151,1,83.0,71.0,129.67,5,espn_and_jugg
2023,nfl:gsis:00-0029604,11177,Kirk Cousins,QB,LV,True,1,Brad Beissner,2,103,11,85.0,115.0,296.553,1,espn_and_jugg
2023,nfl:gsis:00-0029621,11345,Greg Zuerlein,K,FA,False,,,0,223,13,188.0,227.0,117.9,1,espn
2023,nfl:gsis:00-0029701,11174,Ryan Tannehill,QB,FA,False,,,0,243,24,222.0,,215.939,4,espn
2023,nfl:gsis:00-0029822,13274,Brandon McManus,K,FA,True,1,Julius Berotte,0,255,15,240.0,231.0,119.02,1,espn_and_jugg
2023,nfl:gsis:00-0030035,13429,Adam Thielen,WR,FA,False,,,1,122,56,137.0,171.0,99.443,2,espn
2023,nfl:gsis:00-0030061,11689,Zach Ertz,TE,FA,True,1,Brad Beissner,0,185,18,157.0,149.0,48.414,11,espn_and_jugg
2023,nfl:gsis:00-0030098,11818,Dustin Hopkins,K,FA,False,,,0,192,12,,,115.38,,espn
2023,nfl:gsis:00-0030279,11616,Keenan Allen,WR,IND,True,5,Brad Beissner,19,42,20,39.0,47.0,140.06,16,espn_and_jugg
2023,nfl:gsis:00-0030431,11610,Robert Woods,WR,FA,False,,,0,227,83,,,63.894,1,espn
2023,nfl:gsis:00-0030506,11594,Travis Kelce,TE,KC,True,66,George Rodman,57,5,1,5.0,6.0,169.947,39,espn_and_jugg
2023,nfl:gsis:00-0030564,11606,DeAndre Hopkins,WR,BAL,True,12,George Rodman,9,60,27,47.0,60.0,129.475,2,espn_and_jugg
2023,nfl:gsis:00-0030565,11687,Geno Smith,QB,NYJ,False,,,1,125,16,124.0,114.0,310.46,,espn
2023,nfl:gsis:00-0030578,11613,Cordarrelle Patterson,RB,FA,False,,,0,204,63,,150.0,56.769,2,espn
2023,nfl:gsis:00-0031203,13731,Cairo Santos,K,CHI,False,,,0,224,14,209.0,,112.84,,espn
2023,nfl:gsis:00-0031235,12127,Odell Beckham Jr.,WR,NYG,True,1,Julius Berotte,2,100,45,103.0,117.0,89.717,8,espn_and_jugg
2023,nfl:gsis:00-0031236,12122,Brandin Cooks,WR,FA,True,4,Nate Corbett,4,81,35,88.0,110.0,120.199,6,espn_and_jugg
2023,nfl:gsis:00-0031260,12095,Logan Thomas,TE,FA,False,,,0,248,25,,,61.755,2,espn
2023,nfl:gsis:00-0031280,12092,Derek Carr,QB,FA,True,1,Julius Berotte,0,219,22,164.0,186.0,278.037,1,espn_and_jugg
2023,nfl:gsis:00-0031345,12208,Jimmy Garoppolo,QB,LAR,False,,,0,220,23,182.0,123.0,230.519,,espn
2023,nfl:gsis:00-0031376,12209,Jerick McKinnon,RB,FA,True,1,Brad Beissner,1,130,44,127.0,141.0,75.539,1,espn_and_jugg
2023,nfl:gsis:00-0031381,12123,Davante Adams,WR,LAR,True,44,George Rodman,53,7,4,8.0,17.0,175.464,51,espn_and_jugg
2023,nfl:gsis:00-0031408,12119,Mike Evans,WR,SF,True,9,Lee Krassner,10,57,24,64.0,85.0,150.814,31,espn_and_jugg
2023,nfl:gsis:00-0031428,12126,Allen Robinson II,WR,FA,False,,,0,232,88,,,42.883,10,espn
2023,nfl:gsis:00-0031492,14003,Jason Myers,K,SEA,True,1,Joey Breeland,1,156,6,144.0,208.0,122.09,1,espn_and_jugg
2023,nfl:gsis:00-0031544,13894,Amari Cooper,WR,FA,True,11,Phil Carr,19,41,19,41.0,40.0,148.485,2,espn_and_jugg
2023,nfl:gsis:00-0031547,13897,DeVante Parker,WR,FA,False,,,0,197,75,,,69.562,2,espn
2023,nfl:gsis:00-0031588,13981,Stefon Diggs,WR,WAS,True,45,Brandon Martin,46,11,5,11.0,9.0,176.204,42,espn_and_jugg
2023,nfl:gsis:00-0031610,14104,Darren Waller,TE,CAR,True,9,Lee Krassner,7,64,4,45.0,58.0,93.188,7,espn_and_jugg
2023,nfl:gsis:00-0031687,14338,Raheem Mostert,RB,LV,False,,,2,111,37,122.0,125.0,155.305,3,espn
2023,nfl:gsis:00-0031800,13932,Taylor Heinicke,QB,FA,False,,,0,317,38,,,89.121,,espn
2023,nfl:gsis:00-0032104,13924,Ameer Abdullah,RB,JAX,False,,,0,237,74,,,32.077,8,espn
2023,nfl:gsis:00-0032211,13971,Tyler Lockett,WR,LV,True,3,Robbie Bagwell,4,80,34,69.0,51.0,125.002,2,espn_and_jugg
2023,nfl:gsis:00-0032392,15581,Austin Hooper,TE,ATL,False,,,0,311,35,,,35.711,,espn
2023,nfl:gsis:00-0032764,15514,Derrick Henry,RB,BAL,True,59,Julius Berotte,58,3,1,10.0,15.0,212.384,62,espn_and_jugg
2023,nfl:gsis:00-0032765,15528,Michael Thomas,WR,FA,True,1,Robbie Bagwell,2,101,46,104.0,112.0,84.794,6,espn_and_jugg
2023,nfl:gsis:00-0033009,15547,Tyler Boyd,WR,FA,False,,,1,136,58,151.0,187.0,90.096,2,espn
2023,nfl:gsis:00-0033040,15802,Tyreek Hill,WR,FA,True,59,Robbie Bagwell,55,6,3,6.0,5.0,209.822,27,espn_and_jugg
2023,nfl:gsis:00-0033045,15498,Ezekiel Elliott,RB,FA,True,2,George Rodman,1,131,45,130.0,132.0,105.174,27,espn_and_jugg
2023,nfl:gsis:00-0033077,15600,Dak Prescott,QB,DAL,True,5,Lee Krassner,2,102,10,89.0,77.0,347.743,9,espn_and_jugg
2023,nfl:gsis:00-0033090,15561,Hunter Henry,TE,NE,False,,,0,246,23,227.0,206.0,66.488,1,espn
